Date,Close
30/08/2013 15:30:00,27360
06/09/2013 15:30:00,27380
13/09/2013 15:30:00,28120
17/09/2013 15:30:00,27720
27/09/2013 15:30:00,27320
04/10/2013 15:30:00,28360
11/10/2013 15:30:00,28860
18/10/2013 15:30:00,29440
25/10/2013 15:30:00,28980
01/11/2013 15:30:00,30000
08/11/2013 15:30:00,28200
15/11/2013 15:30:00,29240
22/11/2013 15:30:00,29000
29/11/2013 15:30:00,29880
06/12/2013 15:30:00,28560
13/12/2013 15:30:00,27800
20/12/2013 15:30:00,28540
27/12/2013 15:30:00,27920
03/01/2014 15:30:00,25920
10/01/2014 15:30:00,25440
17/01/2014 15:30:00,25840
24/01/2014 15:30:00,26140
29/01/2014 15:30:00,25600
07/02/2014 15:30:00,25500
14/02/2014 15:30:00,26020
21/02/2014 15:30:00,26600
28/02/2014 15:30:00,26980
07/03/2014 15:30:00,26780
14/03/2014 15:30:00,25500
21/03/2014 15:30:00,25460
28/03/2014 15:30:00,26700
04/04/2014 15:30:00,27600
11/04/2014 15:30:00,27300
18/04/2014 15:30:00,27560
25/04/2014 15:30:00,27980
02/05/2014 15:30:00,26920
09/05/2014 15:30:00,26700
16/05/2014 15:30:00,28560
23/05/2014 15:30:00,28560
30/05/2014 15:30:00,28860
05/06/2014 15:30:00,29140
13/06/2014 15:30:00,27340
20/06/2014 15:30:00,26020
27/06/2014 15:30:00,26220
04/07/2014 15:30:00,26120
11/07/2014 15:30:00,25680
18/07/2014 15:30:00,26860
25/07/2014 15:30:00,27100
01/08/2014 15:30:00,25840
08/08/2014 15:30:00,25000
14/08/2014 15:30:00,25220
22/08/2014 15:30:00,24940
29/08/2014 15:30:00,24680
05/09/2014 15:30:00,24020
12/09/2014 15:30:00,24020
19/09/2014 15:30:00,24200
26/09/2014 15:30:00,23700
02/10/2014 15:30:00,22820
10/10/2014 15:30:00,22100
17/10/2014 15:30:00,21780
24/10/2014 15:30:00,22240
31/10/2014 15:30:00,24880
07/11/2014 15:30:00,24120
14/11/2014 15:30:00,23880
21/11/2014 15:30:00,24460
28/11/2014 15:30:00,25740
05/12/2014 15:30:00,26040
12/12/2014 15:30:00,25720
19/12/2014 15:30:00,26560
26/12/2014 15:30:00,27040
02/01/2015 15:30:00,26600
09/01/2015 15:30:00,26280
16/01/2015 15:30:00,26320
23/01/2015 15:30:00,27720
30/01/2015 15:30:00,27300
06/02/2015 15:30:00,27440
13/02/2015 15:30:00,27220
17/02/2015 15:30:00,27540
27/02/2015 15:30:00,27140
06/03/2015 15:30:00,28840
13/03/2015 15:30:00,29420
20/03/2015 15:30:00,29280
27/03/2015 15:30:00,28420
03/04/2015 15:30:00,28680
10/04/2015 15:30:00,29800
17/04/2015 15:30:00,29000
24/04/2015 15:30:00,28200
30/04/2015 15:30:00,28200
08/05/2015 15:30:00,26760
15/05/2015 15:30:00,26520
22/05/2015 15:30:00,27000
29/05/2015 15:30:00,26140
05/06/2015 15:30:00,26820
12/06/2015 15:30:00,25540
19/06/2015 15:30:00,25320
26/06/2015 15:30:00,25560
03/07/2015 15:30:00,25360
10/07/2015 15:30:00,25180
17/07/2015 15:30:00,26100
24/07/2015 15:30:00,24580
31/07/2015 15:30:00,23700
07/08/2015 15:30:00,22720
13/08/2015 15:30:00,22800
21/08/2015 15:30:00,22020
28/08/2015 15:30:00,21620
04/09/2015 15:30:00,22580
11/09/2015 15:30:00,22300
18/09/2015 15:30:00,23800
25/09/2015 15:30:00,22240
02/10/2015 15:30:00,22380
08/10/2015 15:30:00,25400
16/10/2015 15:30:00,25300
23/10/2015 15:30:00,25780
30/10/2015 15:30:00,27440
06/11/2015 15:30:00,26760
13/11/2015 15:30:00,26000
20/11/2015 15:30:00,25700
27/11/2015 15:30:00,26540
04/12/2015 15:30:00,25380
11/12/2015 15:30:00,25680
18/12/2015 15:30:00,25560
24/12/2015 15:30:00,25700
30/12/2015 15:30:00,25200
08/01/2016 15:30:00,23420
15/01/2016 15:30:00,22640
29/01/2016 15:30:00,23000
05/02/2016 15:30:00,23280
12/02/2016 15:30:00,22600
19/02/2016 15:30:00,23800
26/02/2016 15:30:00,23440
04/03/2016 15:30:00,24300
11/03/2016 15:30:00,24980
18/03/2016 15:30:00,25460
25/03/2016 15:30:00,25760
01/04/2016 15:30:00,25580
08/04/2016 15:30:00,24920
15/04/2016 15:30:00,26000
22/04/2016 15:30:00,25600
29/04/2016 15:30:00,24900
04/05/2016 15:30:00,25800
13/05/2016 15:30:00,25060
20/05/2016 15:30:00,25380
27/05/2016 15:30:00,25640
03/06/2016 15:30:00,27540
10/06/2016 15:30:00,28120
17/06/2016 15:30:00,28520
24/06/2016 15:30:00,28000
01/07/2016 15:30:00,29320
08/07/2016 15:30:00,29200
15/07/2016 15:30:00,30360
22/07/2016 15:30:00,30320
29/07/2016 15:30:00,30780
05/08/2016 15:30:00,31220
12/08/2016 15:30:00,30900
19/08/2016 15:30:00,33500
26/08/2016 15:30:00,32240
02/09/2016 15:30:00,31940
09/09/2016 15:30:00,31500
13/09/2016 15:30:00,30540
